"","fish.id","age","lagoon","year.capture","month.capture","edge","birth","t","annuli_num","OL.t","OL.t1","OL.tNeg1","med_year_t","comb","annualT","winterT","growthT","summerT","lagoonT","avgLagT","shallowT","deepT"
"35","M046",2,"med",2008,"February","Opaque",2006,2007,2,1.843032659,NA,1.496653597,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"36","M048",3,"med",2008,"April","Opaque",2005,2005,1,1.529412305,1.936602798,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"37","M048",3,"med",2008,"April","Opaque",2005,2006,2,1.936602798,2.268806255,1.529412305,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"38","M048",3,"med",2008,"April","Opaque",2005,2007,3,2.268806255,NA,1.936602798,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"39","M050",2,"med",2008,"April","Opaque",2006,2006,1,1.562591925,2.016219298,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"40","M050",2,"med",2008,"April","Opaque",2006,2007,2,2.016219298,NA,1.562591925,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"41","M051",3,"med",2008,"April","Opaque",2005,2005,1,1.46494563,1.868184213,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"42","M051",3,"med",2008,"April","Opaque",2005,2006,2,1.868184213,2.040239616,1.46494563,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"43","M051",3,"med",2008,"April","Opaque",2005,2007,3,2.040239616,NA,1.868184213,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"44","M052",3,"med",2008,"April","Opaque",2005,2005,1,1.491285026,1.883926421,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"45","M052",3,"med",2008,"April","Opaque",2005,2006,2,1.883926421,2.056101287,1.491285026,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"46","M052",3,"med",2008,"April","Opaque",2005,2007,3,2.056101287,NA,1.883926421,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"47","M054",2,"med",2008,"April","Opaque",2006,2006,1,1.59545293,1.964075689,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"48","M054",2,"med",2008,"April","Opaque",2006,2007,2,1.964075689,NA,1.59545293,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"49","M055",2,"med",2008,"April","Opaque",2006,2006,1,1.568482901,1.920443185,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"50","M055",2,"med",2008,"April","Opaque",2006,2007,2,1.920443185,NA,1.568482901,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"51","M056",2,"med",2008,"April","Opaque",2006,2006,1,1.557313094,1.921985839,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"52","M056",2,"med",2008,"April","Opaque",2006,2007,2,1.921985839,NA,1.557313094,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"53","M058",3,"med",2008,"April","Opaque",2005,2005,1,1.477987968,1.776702056,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"54","M058",3,"med",2008,"April","Opaque",2005,2006,2,1.776702056,1.933133185,1.477987968,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"55","M058",3,"med",2008,"April","Opaque",2005,2007,3,1.933133185,NA,1.776702056,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"56","M060",2,"med",2008,"April","Opaque",2006,2006,1,1.564617482,1.86345296,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"57","M060",2,"med",2008,"April","Opaque",2006,2007,2,1.86345296,NA,1.564617482,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"58","M061",2,"med",2008,"April","Opaque",2006,2006,1,1.634140261,2.006282248,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"59","M061",2,"med",2008,"April","Opaque",2006,2007,2,2.006282248,NA,1.634140261,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"60","M062",5,"med",2008,"May","Opaque",2002,2002,1,1.487154205,1.898303548,0,"med_2002","med_2002",16.4570898133333,13.64538306,18.46545178,19.4677485966667,19.4677485966667,22.605462962963,22.4933333333333,22.7175925925926
"61","M062",5,"med",2008,"May","Opaque",2002,2003,2,1.898303548,2.179947774,1.487154205,"med_2003","med_2003",17.21187078,13.756118252,19.6802654428571,21.55599521,21.55599521,26.1991666666667,26.6566666666667,25.7416666666667
"62","M062",5,"med",2008,"May","Opaque",2002,2004,3,2.179947774,2.369530907,1.898303548,"med_2004","med_2004",16.4490078908333,13.555410096,18.5158634585714,20.2378925333333,20.2378925333333,23.5438888888889,24.3544444444444,22.7333333333333
"63","M062",5,"med",2008,"May","Opaque",2002,2005,4,2.369530907,2.443993033,2.179947774,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"64","M062",5,"med",2008,"May","Opaque",2002,2006,5,2.443993033,NA,2.369530907,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"65","M063",6,"med",2008,"May","Opaque",2002,2002,1,1.492390762,1.923737797,0,"med_2002","med_2002",16.4570898133333,13.64538306,18.46545178,19.4677485966667,19.4677485966667,22.605462962963,22.4933333333333,22.7175925925926
"66","M063",6,"med",2008,"May","Opaque",2002,2003,2,1.923737797,2.184619372,1.492390762,"med_2003","med_2003",17.21187078,13.756118252,19.6802654428571,21.55599521,21.55599521,26.1991666666667,26.6566666666667,25.7416666666667
"67","M063",6,"med",2008,"May","Opaque",2002,2004,3,2.184619372,2.348805813,1.923737797,"med_2004","med_2004",16.4490078908333,13.555410096,18.5158634585714,20.2378925333333,20.2378925333333,23.5438888888889,24.3544444444444,22.7333333333333
"68","M063",6,"med",2008,"May","Opaque",2002,2005,4,2.348805813,2.453411745,2.184619372,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"69","M063",6,"med",2008,"May","Opaque",2002,2006,5,2.453411745,2.560654695,2.348805813,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"70","M063",6,"med",2008,"May","Opaque",2002,2007,6,2.560654695,NA,2.453411745,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"71","M064",2,"med",2008,"May","Translucent",2006,2006,1,1.644533573,2.130545396,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"72","M064",2,"med",2008,"May","Translucent",2006,2007,2,2.130545396,NA,1.644533573,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"73","M065",3,"med",2008,"May","Opaque",2005,2005,1,1.382340816,1.810578689,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"74","M065",3,"med",2008,"May","Opaque",2005,2006,2,1.810578689,2.06981347,1.382340816,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"75","M065",3,"med",2008,"May","Opaque",2005,2007,3,2.06981347,NA,1.810578689,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"76","M066",3,"med",2008,"May","Opaque",2005,2005,1,1.412263408,1.852864974,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"77","M066",3,"med",2008,"May","Opaque",2005,2006,2,1.852864974,2.019397675,1.412263408,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"78","M066",3,"med",2008,"May","Opaque",2005,2007,3,2.019397675,NA,1.852864974,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"79","M067",2,"med",2008,"May","Opaque",2006,2006,1,1.783495667,2.110814176,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"80","M067",2,"med",2008,"May","Opaque",2006,2007,2,2.110814176,NA,1.783495667,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"81","M068",2,"med",2008,"May","Opaque",2006,2006,1,1.435340312,1.847376441,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"82","M068",2,"med",2008,"May","Opaque",2006,2007,2,1.847376441,NA,1.435340312,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"83","M069",2,"med",2008,"May","Opaque",2006,2006,1,1.742288175,2.140865435,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"84","M069",2,"med",2008,"May","Opaque",2006,2007,2,2.140865435,NA,1.742288175,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"85","M070",2,"med",2008,"May","Translucent",2006,2006,1,1.726257873,2.021690159,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"86","M070",2,"med",2008,"May","Translucent",2006,2007,2,2.021690159,NA,1.726257873,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"87","M071",3,"med",2008,"May","Translucent",2005,2005,1,1.317879446,1.671105641,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"88","M071",3,"med",2008,"May","Translucent",2005,2006,2,1.671105641,2.199833633,1.317879446,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"89","M071",3,"med",2008,"May","Translucent",2005,2007,3,2.199833633,NA,1.671105641,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"90","M072",3,"med",2008,"June","Translucent",2005,2005,1,1.336315999,1.688014998,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"91","M072",3,"med",2008,"June","Translucent",2005,2006,2,1.688014998,1.983252743,1.336315999,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"92","M072",3,"med",2008,"June","Translucent",2005,2007,3,1.983252743,NA,1.688014998,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"93","M075",2,"med",2008,"June","Translucent",2006,2006,1,1.616452005,2.024606014,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"94","M075",2,"med",2008,"June","Translucent",2006,2007,2,2.024606014,NA,1.616452005,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"95","M076",3,"med",2008,"June","Translucent",2005,2005,1,1.670311358,2.188487432,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"96","M076",3,"med",2008,"June","Translucent",2005,2006,2,2.188487432,2.479551107,1.670311358,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"97","M076",3,"med",2008,"June","Translucent",2005,2007,3,2.479551107,NA,2.188487432,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"98","M077",3,"med",2008,"August","Translucent",2005,2005,1,1.599237726,1.935813666,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"99","M077",3,"med",2008,"August","Translucent",2005,2006,2,1.935813666,2.25447326,1.599237726,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"100","M077",3,"med",2008,"August","Translucent",2005,2007,3,2.25447326,NA,1.935813666,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"101","M078",2,"med",2008,"August","Translucent",2006,2006,1,1.7367823,2.272679905,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"102","M078",2,"med",2008,"August","Translucent",2006,2007,2,2.272679905,NA,1.7367823,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"103","M080",1,"med",2008,"August","Translucent",2007,2007,1,1.776193904,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"104","M085",1,"med",2008,"August","Translucent",2007,2007,1,1.417030065,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"105","M087",1,"med",2008,"August","Translucent",2007,2007,1,2.087755813,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"106","M088",1,"med",2008,"August","Translucent",2007,2007,1,1.358871964,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"107","M089",1,"med",2008,"August","Translucent",2007,2007,1,1.327042944,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"108","M090",1,"med",2008,"August","Translucent",2007,2007,1,1.614071988,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"109","M091",1,"med",2008,"August","Translucent",2007,2007,1,1.482843839,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"110","M092",1,"med",2008,"August","Translucent",2007,2007,1,1.499414877,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"111","M094",1,"med",2008,"August","Translucent",2007,2007,1,1.215369721,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"112","M095",1,"med",2008,"August","Translucent",2007,2007,1,1.425023349,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"113","M096",1,"med",2008,"August","Translucent",2007,2007,1,1.443440938,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"114","M097",1,"med",2008,"August","Translucent",2007,2007,1,1.712165262,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"115","M098",1,"med",2008,"August","Translucent",2007,2007,1,1.480591666,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"116","M099",1,"med",2008,"August","Translucent",2007,2007,1,1.340127154,NA,0,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"117","M100",2,"med",2008,"September","Translucent",2006,2006,1,1.517801105,1.909066509,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"118","M100",2,"med",2008,"September","Translucent",2006,2007,2,1.909066509,NA,1.517801105,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"119","M101",2,"med",2008,"September","Translucent",2006,2006,1,2.040699574,2.763283411,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"120","M101",2,"med",2008,"September","Translucent",2006,2007,2,2.763283411,NA,2.040699574,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"121","M102",3,"med",2008,"September","Translucent",2005,2005,1,1.353058817,1.767596214,0,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
